"","dt","lm","dl","dt_years"
"103",0.00218427472321261,27.432,9.398,0.797260273972603
"104",0.00467629949333834,29.972,14.478,1.70684931506849
"105",0.00535935447551135,29.972,14.478,1.95616438356164
"106",0.000690561080878214,29.972,0.507999999999999,0.252054794520548
"107",0.00282979921185964,28.448,16.002,1.03287671232877
"108",0.0145993619816101,25.908,26.162,5.32876712328767
"109",0.00544192156126853,24.892,18.542,1.98630136986301
"110",0.00274723212610246,36.83,6.985,1.0027397260274
"111",0.00272471382998686,36.068,2.032,0.994520547945206
"112",0.00510414711953462,36.068,12.192,1.86301369863014
"113",0.00917995871645712,39.37,12.7,3.35068493150685
"114",0.00730343404015763,40.64,6.985,2.66575342465753
"115",0.00359542127978983,29.21,8.89,1.31232876712329
"116",0.00209420153875023,34.29,6.35,0.764383561643836
"117",0.00638018389941828,30.48,12.7,2.32876712328767
"118",0.00343028710827547,33.02,8.89,1.25205479452055
"119",0.00695815349971852,26.67,13.97,2.53972602739726
"120",0.00324263464064552,36.83,7.62,1.18356164383562
"121",0.00105835991743291,33.02,2.54,0.386301369863014
"122",0.00385062863576656,25.4,15.24,1.40547945205479
"123",0.00487896415837868,38.1,10.795,1.78082191780822
"124",0.00386564083317696,26.67,10.16,1.41095890410959
"125",0.00386564083317696,29.972,6.858,1.41095890410959
"126",0.028132857947082,29.21,34.925,10.2684931506849
"127",0.002957402889848,31.75,8.89,1.07945205479452
"128",0.0033252017264027,34.29,10.16,1.21369863013699
"129",0.00687558641396134,33.02,16.51,2.50958904109589
"130",0.0025820979545881,33.02,7.62,0.942465753424658
"131",0.001478701444924,29.21,5.08,0.53972602739726
"132",0.0010958904109589,35.56,1.27,0.4
"133",0.0107937699380747,33.02,20.955,3.93972602739726
"134",0.00288984800150122,33.02,2.54,1.05479452054795
"135",0.00269468943516607,30.48,5.08,0.983561643835616
"136",0.00155376243197598,25.4,5.08,0.567123287671233
"137",0.0037080127603678,29.21,8.89,1.35342465753425
"138",0.00684556201914055,40.64,3.81,2.4986301369863
"139",0.00534434227810096,36.83,6.35,1.95068493150685
"140",0.00552448864702571,33.02,10.16,2.01643835616438
"141",0.00400075060987052,38.1,5.715,1.46027397260274
"142",0.00701069619065491,35.56,10.16,2.55890410958904
"143",0.00532933008069056,34.29,11.43,1.94520547945205
"144",0.00355038468755864,31.75,12.7,1.2958904109589
"145",0.00204165884781385,27.94,7.112,0.745205479452055
"146",0.0114993432163633,30.48,27.94,4.1972602739726
"147",0.0114768249202477,30.48,13.97,4.18904109589041
"148",0.00206417714392944,29.21,6.858,0.753424657534247
"149",0.00380559204353537,30.48,8.255,1.38904109589041
"150",0.00947269656595984,34.29,21.59,3.45753424657534
"151",0.00300994558078439,33.02,6.34999999999999,1.0986301369863
"152",0.0025896040532933,35.56,6.35,0.945205479452055
"153",0.00580972039782323,33.02,6.34999999999999,2.12054794520548
"154",0.00237943328954776,30.48,7.62,0.868493150684931
"155",0.000660536686057422,38.1,1.27,0.241095890410959
"156",0.00626008632013511,34.29,12.7,2.28493150684932
"157",0.00350534809532745,36.83,7.62,1.27945205479452
"158",0.00283730531056483,34.29,7.62,1.03561643835616
"159",0.00430099455807844,34.29,7.62,1.56986301369863
"160",0.00255957965847251,22.86,6.35,0.934246575342466
"161",0.00610996434603115,34.29,15.24,2.23013698630137
"162",0.000833176956276975,34.29,1.27,0.304109589041096
"163",0.00428598236066804,31.75,8.89,1.56438356164384
"164",0.00248451867142053,33.02,8.12799999999999,0.906849315068493
"165",0.00274723212610246,33.02,7.62,1.0027397260274
"166",0.00268718333646087,30.48,10.16,0.980821917808219
"167",0.00211671983486583,30.48,7.62,0.772602739726027
"168",0.00379057984612498,30.48,11.43,1.38356164383562
"169",0.00267217113905048,33.02,7.62,0.975342465753425
"170",0.00331018952899231,29.21,8.89,1.20821917808219
"171",0.000953274535560143,30.48,2.54,0.347945205479452
"172",0.000855695252392569,33.02,2.54,0.312328767123288
"173",0.00246200037530494,30.48,7.62,0.898630136986301
"174",0.0026046162507037,30.48,7.62,0.950684931506849
"175",0.00210921373616063,26.67,5.08,0.76986301369863
"176",0.016873709889285,30.48,27.94,6.15890410958904
"177",0.00357290298367424,33.02,12.065,1.3041095890411
"178",0.00193657346594108,31.75,1.524,0.706849315068493
"179",0.0081666353912554,29.21,21.59,2.98082191780822
"180",0.00661287295927941,36.83,10.16,2.41369863013699
"181",0.00493150684931507,31.75,10.16,1.8
"182",0.00493150684931507,36.83,8.89,1.8
"183",0.00493150684931507,33.02,12.7,1.8
"184",0.00522424469881779,36.83,1.27,1.90684931506849
"185",0.00522424469881779,31.75,7.62,1.90684931506849
"186",0.00662788515668981,31.75,14.605,2.41917808219178
"187",0.00553199474573091,34.29,11.43,2.01917808219178
"188",0.00737098892850441,31.75,11.43,2.69041095890411
"189",0.0123100018765247,41.91,15.24,4.49315068493151
"190",0.00643272659035466,30.48,15.24,2.34794520547945
"191",0.0114242822293113,38.1,17.78,4.16986301369863
"192",0.00522424469881779,33.02,10.16,1.90684931506849
"193",0.00912741602552074,27.94,20.32,3.33150684931507
"194",0.00232689059861137,31.75,8.38200000000001,0.849315068493151
"195",0.0105235503846876,31.75,24.13,3.84109589041096
"196",0.0251154062675924,30.48,29.21,9.16712328767123
"197",0.00400075060987052,30.48,10.16,1.46027397260274
"198",0.00315256145618315,30.48,13.97,1.15068493150685
"199",0.00447363482829799,30.48,12.7,1.63287671232877
"200",0.00418089697879527,33.02,10.795,1.52602739726027
"201",0.00363295177331582,36.83,8.89,1.32602739726027
"202",0.00119346969412648,33.02,5.08,0.435616438356164
"203",0.00304747607431038,31.75,3.81,1.11232876712329
"204",0.0109363858134734,33.02,10.16,3.99178082191781
"205",0.0110865077875774,29.21,25.4,4.04657534246575
"206",0.00158378682679677,34.29,5.84200000000001,0.578082191780822
"207",0.0234940889472697,30.48,40.005,8.57534246575342
"208",0.00240945768436855,33.02,8.89,0.879452054794521
"209",0.00605742165509477,31.75,16.51,2.21095890410959
"210",0.0189378870332145,35.56,21.59,6.91232876712329
"211",0.00343028710827547,35.56,5.08,1.25205479452055
"212",0.0123024957778195,38.1,27.94,4.49041095890411
"213",0.000848189153687371,34.29,3.81,0.30958904109589
"214",0.012587727528617,29.21,19.05,4.59452054794521
"215",0.00158378682679677,27.94,8.128,0.578082191780822
"216",0.00430850065678364,33.02,12.7,1.57260273972603
"217",0.00173390880090073,31.75,5.08,0.632876712328767
"218",0.00306248827172077,30.48,12.065,1.11780821917808
"219",0.00157628072809157,33.02,6.096,0.575342465753425
"220",0.00417339088009007,30.48,8.255,1.52328767123288
"221",0.00120848189153687,30.48,5.08,0.441095890410959
"222",0.00477387877650591,34.29,14.605,1.74246575342466
"223",0.00586976918746481,35.56,12.7,2.14246575342466
"224",0.00586976918746481,33.02,12.7,2.14246575342466
"225",0.00573465941077125,31.75,11.43,2.09315068493151
"226",0.00987051979733534,34.29,19.05,3.6027397260274
"227",0.0116719834865828,38.1,13.97,4.26027397260274
"228",0.00521673860011259,30.48,8.89,1.9041095890411
"229",0.019223118784012,30.48,21.59,7.01643835616438
"230",0.00416588478138488,34.29,10.16,1.52054794520548
"231",0.00476637267780071,31.75,8.89,1.73972602739726
"232",0.00566710452242447,33.02,10.16,2.06849315068493
"233",0.00145618314880841,33.02,5.08,0.531506849315069
"234",0.00138112216175643,30.48,7.11200000000001,0.504109589041096
"235",0.020776881215988,35.56,26.67,7.58356164383562
"236",0.00137361606305123,33.02,10.16,0.501369863013699
"237",0.00144867705010321,31.75,7.112,0.528767123287671
"238",0.00231938449990617,31.75,7.62,0.846575342465753
"239",0.00857196472133608,30.48,14.605,3.12876712328767
"240",0.00288234190279602,31.75,12.065,1.05205479452055
"241",0.00225933571026459,30.48,6.35,0.824657534246575
"242",0.00301745167948959,33.02,8.255,1.1013698630137
"243",0.00232689059861137,31.75,2.54,0.849315068493151
"244",0.00979545881028336,30.48,20.32,3.57534246575342
"245",0.00857947082004128,31.75,17.78,3.13150684931507
"246",0.0014937136423344,31.75,5.334,0.545205479452055
"247",0.0040833176956277,33.02,7.62,1.49041095890411
"248",0.0191405516982548,31.75,20.32,6.98630136986301
"249",0.00650028147870144,33.02,10.16,2.37260273972603
"250",0.0040833176956277,40.64,7.62,1.49041095890411
"251",0.00719084255957966,30.48,21.59,2.62465753424658
"252",0.000607993995121036,29.972,1.778,0.221917808219178
"253",0.00107337211484331,26.67,4.318,0.391780821917808
"254",0.00107337211484331,26.67,4.318,0.391780821917808
"255",0.00156877462938638,33.02,2.54,0.572602739726027
"256",0.00313754925877275,29.972,10.668,1.14520547945205
"257",0.00169637830737474,34.29,3.81,0.619178082191781
"258",0.00169637830737474,30.48,7.62,0.619178082191781
"259",0.00156877462938638,31.75,6.35,0.572602739726027
"260",0.00343779320698067,27.94,11.43,1.25479452054795
"261",0.00141865265528242,33.02,2.54,0.517808219178082
"262",0.000450365922311878,30.48,1.27,0.164383561643836
"263",0.00141865265528242,30.48,7.62,0.517808219178082
"264",0.00119346969412648,39.37,1.27,0.435616438356164
"265",0.0011109026083693,38.1,0,0.405479452054795
"266",0.00357290298367424,35.56,5.08,1.3041095890411
"267",0.00801651341715144,38.1,12.7,2.92602739726027
"268",0.00920998311127791,36.83,15.875,3.36164383561644
"269",0.00291236629761681,36.83,2.54,1.06301369863014
"270",0.00101332332520173,38.1,2.54,0.36986301369863
"271",0.00291236629761681,32.512,5.588,1.06301369863014
"272",0.00423343966973166,33.02,3.81,1.54520547945205
"273",0.00505911052730343,31.75,10.16,1.84657534246575
"274",0.00412084818915369,36.83,7.62,1.5041095890411
"275",0.000645524488647026,38.1,5.08,0.235616438356164
"276",0.0136836179395759,38.1,17.78,4.99452054794521
"277",0.000623006192531432,31.75,11.43,0.227397260273973
"278",0.0026046162507037,33.02,8.255,0.950684931506849
"279",0.000532933008069056,25.4,1.27,0.194520547945205
"280",0.0105235503846876,26.924,23.876,3.84109589041096
"281",0.0125652092325014,29.972,30.988,4.58630136986301
"282",0.000855695252392569,30.226,1.524,0.312328767123288
"283",0.0146969412647776,30.48,21.59,5.36438356164384
"284",0.000855695252392569,30.988,2.032,0.312328767123288
"285",0.00785137924563708,32.258,18.542,2.86575342465753
"286",0.0249953086883093,41.402,27.178,9.12328767123288
"287",0.00116344529930569,19.05,5.08,0.424657534246575
"288",0.0123100018765247,26.924,16.256,4.49315068493151
"289",0.0018690185775943,30.988,4.064,0.682191780821918
"290",0.000645524488647026,35.306,2.54,0.235616438356164
"291",0.000562957402889848,25.908,1.778,0.205479452054795
"292",0.00188403077500469,32.766,4.82600000000001,0.687671232876712
"293",0.0029799211859636,28.448,9.652,1.08767123287671
"294",0.00225933571026459,28.194,8.636,0.824657534246575
"295",0.000638018389941828,36.322,0.761999999999993,0.232876712328767
"296",0.00101332332520173,25.908,4.572,0.36986301369863
"297",0.00990054419215613,26.162,30.988,3.61369863013699
"298",0.00874460499155564,32.512,27.178,3.19178082191781
"299",0.00183148808406831,43.18,4.445,0.668493150684932
"300",0.00274723212610246,25.654,7.366,1.0027397260274
"301",0.000803152561456183,25.146,3.302,0.293150684931507
"302",0.00063051229123663,26.162,2.54,0.23013698630137
"303",0.00415837868267968,29.21,15.24,1.51780821917808
"304",0.0115518859072997,42.926,9.779,4.21643835616438
"305",0.00484893976355789,28.448,13.462,1.76986301369863
"306",0.000495402514543066,47.498,0,0.180821917808219
"307",0.000465378119722274,27.686,2.032,0.16986301369863
"308",0.00397823231375493,50.038,4.572,1.45205479452055
"309",0.0085194220303997,29.972,29.718,3.10958904109589
"310",0.00204916494651905,39.624,5.84199999999999,0.747945205479452
"311",0.00182398198536311,41.91,5.08,0.665753424657534
"312",0.000675548883467818,41.402,1.778,0.246575342465753
"313",0.00189904297241509,44.45,2.54,0.693150684931507
"314",0.0242597110151998,45.72,24.13,8.85479452054794
"315",0.0163332707825108,38.1,27.94,5.96164383561644
"316",0.0163332707825108,36.068,29.972,5.96164383561644
"317",0.00345280540439107,41.402,8.128,1.26027397260274
"318",0.00204916494651905,29.972,4.318,0.747945205479452
"319",0.00189904297241509,35.052,3.302,0.693150684931507
"320",0.00204916494651905,31.496,6.604,0.747945205479452
"321",0.00287483580409082,36.322,7.112,1.04931506849315
"322",0.00189153687370989,33.02,1.016,0.69041095890411
"323",0.00188403077500469,32.512,0.762,0.687671232876712
"324",0.00189153687370989,29.972,2.54,0.69041095890411
"325",0.00190654907112029,35.56,3.556,0.695890410958904
"326",0.00273972602739726,33.274,3.556,1
"327",0.00190654907112029,36.322,3.556,0.695890410958904
"328",0.00179395759054232,36.068,3.302,0.654794520547945
"329",0.00172640270219553,27.432,4.318,0.63013698630137
