"","summary.mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.Rhat","summary.n.eff"
"p.value[140,1]",0.0737857142857143,0.261423404175364,0,0,0,0,1,1.00099050401834,84000
"p.value[141,1]",0.218166666666667,0.413003635385094,0,0,0,0,1,1.00099051960155,84000
"p.value[142,1]",0.415690476190476,0.492843581473598,0,0,0,1,1,1.00100706556444,76000
"p.value[143,1]",0.2645,0.441069230367497,0,0,0,1,1,1.00101340780996,61000
"p.value[144,1]",0.279892857142857,0.448949045138164,0,0,0,1,1,1.00102315046883,47000
"p.value[145,1]",0.465821428571429,0.498833426680693,0,0,0,1,1,1.0010128096356,62000
"p.value[146,1]",0.721488095238095,0.448269356386461,0,0,1,1,1,1.00100795068472,73000
"p.value[147,1]",0.700345238095238,0.458109467220331,0,0,1,1,1,1.00101918058655,52000
"p.value[148,1]",0.773559523809524,0.41852989410289,0,1,1,1,1,1.00098986162773,84000
"p.value[149,1]",0.269785714285714,0.443851019978029,0,0,0,1,1,1.00102341999377,47000
"p.value[150,1]",0.660416666666667,0.473570652518231,0,0,1,1,1,1.00098533489576,84000
"p.value[151,1]",0.525488095238095,0.499352906763447,0,0,1,1,1,1.0010290750073,41000
"p.value[152,1]",0.607119047619048,0.488393641707582,0,0,1,1,1,1.00101428704077,59000
"p.value[153,1]",0.46397619047619,0.498703565180889,0,0,0,1,1,1.00099058107096,84000
"p.value[154,1]",0.457083333333333,0.498157720025695,0,0,0,1,1,1.00098510805122,84000
"p.value[155,1]",0.241047619047619,0.427721687930116,0,0,0,0,1,1.00102409497287,46000
"p.value[156,1]",0.629511904761905,0.482938342923744,0,0,1,1,1,1.00099070505653,84000
"p.value[157,1]",0.376809523809524,0.484589416036218,0,0,0,1,1,1.00098544584864,84000
"p.value[158,1]",0.451,0.497596169239911,0,0,0,1,1,1.00101653146844,56000
"p.value[159,1]",0.403047619047619,0.490513098856988,0,0,0,1,1,1.00100895892913,71000
"p.value[160,1]",0.520309523809524,0.49959032672585,0,0,1,1,1,1.00100419410677,84000
"p.value[161,1]",0.383988095238095,0.486357948381803,0,0,0,1,1,1.000984691183,84000
"p.value[162,1]",0.721202380952381,0.448410415104397,0,0,1,1,1,1.00098690244408,84000
"p.value[163,1]",0.575083333333333,0.494333290571742,0,0,1,1,1,1.00098310859587,84000
"p.value[164,1]",0.434321428571429,0.495670505605415,0,0,0,1,1,1.00098419231311,84000
"p.value[165,1]",0.48772619047619,0.499852306218797,0,0,0,1,1,1.0009943714174,84000
"p.value[166,1]",0.6075,0.488309930935123,0,0,1,1,1,1.00104169618004,33000
"p.value[167,1]",0.552357142857143,0.497254133399798,0,0,1,1,1,1.00101607482241,56000
"p.value[168,1]",0.719119047619048,0.449432139042616,0,0,1,1,1,1.00099047695039,84000
"p.value[169,1]",0.665642857142857,0.471768050488794,0,0,1,1,1,1.0009980822033,84000
"p.value[170,1]",0.671345238095238,0.469726980372278,0,0,1,1,1,1.00098400031542,84000
"p.value[171,1]",0.558714285714286,0.496543621284568,0,0,1,1,1,1.00098790138804,84000
"p.value[172,1]",0.630833333333333,0.482582025498528,0,0,1,1,1,1.00098891072794,84000
"p.value[173,1]",0.559095238095238,0.496498426468311,0,0,1,1,1,1.00100012394588,84000
"p.value[174,1]",0.514130952380952,0.499803251323456,0,0,1,1,1,1.00100107662045,84000
"p.value[175,1]",0.632761904761905,0.482055020757341,0,0,1,1,1,1.00098381535001,84000
"p.value[176,1]",0.617666666666667,0.485960252441268,0,0,1,1,1,1.00101402664887,60000
"p.value[177,1]",0.629833333333333,0.482852028166125,0,0,1,1,1,1.00104806957181,30000
"p.value[178,1]",0.580452380952381,0.493487906203883,0,0,1,1,1,1.00104973077205,29000
"p.value[179,1]",0.668702380952381,0.470682636250239,0,0,1,1,1,1.0009958780017,84000
"p.value[180,1]",0.373738095238095,0.483798220173465,0,0,0,1,1,1.00099084382341,84000
"p.value[181,1]",0.760523809523809,0.426766344595832,0,1,1,1,1,1.00099880436657,84000
"p.value[182,1]",0.280035714285714,0.449019056639958,0,0,0,1,1,1.00098101154314,84000
"p.value[183,1]",0.486535714285714,0.499821655271065,0,0,0,1,1,1.0009962152716,84000
"p.value[184,1]",0.344488095238095,0.475203888657919,0,0,0,1,1,1.00100356522251,84000
"p.value[185,1]",0.576880952380952,0.494056904638342,0,0,1,1,1,1.00098497351269,84000
"p.value[186,1]",0.0911071428571429,0.287763126863949,0,0,0,0,1,1.0009829401528,84000
"p.value[187,1]",0.420988095238095,0.49372058981868,0,0,0,1,1,1.00098289826012,84000
"p.value[188,1]",0.552678571428571,0.49722018392425,0,0,1,1,1,1.00100463508126,83000
"p.value[189,1]",0.452559523809524,0.497747275885631,0,0,0,1,1,1.00102539570083,45000
"p.value[190,1]",0.366678571428571,0.481900572011117,0,0,0,1,1,1.00101636826769,56000
"p.value[191,1]",0.170988095238095,0.376500802202227,0,0,0,0,1,1.00098951636763,84000
"p.value[192,1]",0.62022619047619,0.485333356850735,0,0,1,1,1,1.00103252519972,39000
"p.value[193,1]",0.310821428571429,0.462832602869687,0,0,0,1,1,1.00100374160746,84000
"p.value[194,1]",0.44147619047619,0.496566107552662,0,0,0,1,1,1.00103437742128,37000
"p.value[195,1]",0.6885,0.463109385801989,0,0,1,1,1,1.00098902532327,84000
"p.value[196,1]",0.656119047619048,0.475004767382753,0,0,1,1,1,1.00098245450469,84000
"p.value[197,1]",0.679845238095238,0.466538617377474,0,0,1,1,1,1.00102059624964,50000
"p.value[198,1]",0.432214285714286,0.495386736260474,0,0,0,1,1,1.00103066786472,40000
"p.value[199,1]",0.598833333333333,0.490137564527246,0,0,1,1,1,1.00098433112517,84000
"p.value[200,1]",0.818095238095238,0.385768312766046,0,1,1,1,1,1.00098682940265,84000
"p.value[201,1]",0.664773809523809,0.472072287576727,0,0,1,1,1,1.00101050521015,67000
"p.value[202,1]",0.557642857142857,0.496669143082097,0,0,1,1,1,1.00098343266902,84000
"p.value[203,1]",0.452714285714286,0.497762002197598,0,0,0,1,1,1.00100333232126,84000
"p.value[204,1]",0.598678571428571,0.490168746293759,0,0,1,1,1,1.00098105602725,84000
"p.value[205,1]",0.367392857142857,0.482097617236963,0,0,0,1,1,1.0010035059928,84000
"p.value[206,1]",0.146309523809524,0.353418355509292,0,0,0,0,1,1.00098608139106,84000
"p.value[207,1]",0.741107142857143,0.438029256814571,0,0,1,1,1,1.00099447303505,84000
"p.value[208,1]",0.570571428571429,0.49499756605966,0,0,1,1,1,1.00102148474191,49000
"p.value[209,1]",0.747011904761905,0.434726774831645,0,0,1,1,1,1.00099054204256,84000
"p.value[210,1]",0.64427380952381,0.478735622563889,0,0,1,1,1,1.00098902208499,84000
"p.value[211,1]",0.675511904761905,0.468186053603693,0,0,1,1,1,1.00100963636863,69000
"p.value[212,1]",0.256702380952381,0.436816368850801,0,0,0,1,1,1.00099415895112,84000
"p.value[213,1]",0.320607142857143,0.466712755247632,0,0,0,1,1,1.00101275329911,62000
"p.value[214,1]",0.618476190476191,0.485763524167567,0,0,1,1,1,1.00098216524569,84000
"p.value[215,1]",0.552678571428571,0.49722018392425,0,0,1,1,1,1.00106615641298,23000
"p.value[216,1]",0.43325,0.495527356139765,0,0,0,1,1,1.00098375759563,84000
"p.value[217,1]",0.78227380952381,0.412702706700498,0,1,1,1,1,1.0010046770704,83000
"p.value[218,1]",0.629666666666667,0.48289681259978,0,0,1,1,1,1.00099406134918,84000
"p.value[219,1]",0.56252380952381,0.496078323382074,0,0,1,1,1,1.00098910948153,84000
"p.value[220,1]",0.757047619047619,0.428869107268714,0,1,1,1,1,1.00104827565195,30000
"p.value[221,1]",0.603095238095238,0.489258849255892,0,0,1,1,1,1.00098392129088,84000
"p.value[222,1]",0.494083333333333,0.499967967838649,0,0,0,1,1,1.00101138449112,65000
"p.value[223,1]",0.647785714285714,0.477663164655308,0,0,1,1,1,1.00099967977646,84000
"p.value[224,1]",0.650702380952381,0.476750981358668,0,0,1,1,1,1.00099092714129,84000
"p.value[225,1]",0.455107142857143,0.497983517408648,0,0,0,1,1,1.00098392587163,84000
"p.value[226,1]",0.501845238095238,0.49999957128156,0,0,1,1,1,1.0009883028162,84000
"p.value[227,1]",0.477857142857143,0.499512426538531,0,0,0,1,1,1.00098280041809,84000
"p.value[228,1]",0.486059523809524,0.499808600402122,0,0,0,1,1,1.00098610752359,84000
"p.value[229,1]",0.185880952380952,0.389012886011157,0,0,0,0,1,1.00105591239154,27000
"p.value[230,1]",0.432369047619048,0.495407888566149,0,0,0,1,1,1.00100063993549,84000
"p.value[231,1]",0.288261904761905,0.452956313034775,0,0,0,1,1,1.00099035331985,84000
"p.value[232,1]",0.507464285714286,0.499947257219594,0,0,1,1,1,1.00101226794462,63000
"p.value[233,1]",0.446357142857143,0.497117074587496,0,0,0,1,1,1.00099168720306,84000
"p.value[234,1]",0.407083333333333,0.491293564480947,0,0,0,1,1,1.00099050978251,84000
"p.value[235,1]",0.567238095238095,0.495461361715573,0,0,1,1,1,1.00099035808985,84000
"p.value[236,1]",0.717261904761905,0.450332853588456,0,0,1,1,1,1.00099657812356,84000
"p.value[237,1]",0.371285714285714,0.483151541078011,0,0,0,1,1,1.00112592255169,14000
"p.value[238,1]",0.790178571428571,0.407183460461987,0,1,1,1,1,1.0010208159552,50000
"p.value[239,1]",0.687440476190476,0.463539238733161,0,0,1,1,1,1.00098786225581,84000
"p.value[240,1]",0.619952380952381,0.485401103454843,0,0,1,1,1,1.00101446130305,59000
"p.value[241,1]",0.441916666666667,0.496617823332527,0,0,0,1,1,1.00098247149274,84000
"p.value[242,1]",0.750904761904762,0.432491649893554,0,1,1,1,1,1.00103781327408,35000
"p.value[243,1]",0.594940476190476,0.49090648284523,0,0,1,1,1,1.00098874167561,84000
"p.value[244,1]",0.556059523809524,0.496850348297121,0,0,1,1,1,1.00103961242587,34000
"p.value[245,1]",0.380535714285714,0.485521462719502,0,0,0,1,1,1.00099081355671,84000
"p.value[246,1]",0.604619047619048,0.488935272608035,0,0,1,1,1,1.00100860085896,72000
"p.value[247,1]",0.551119047619048,0.497382939079183,0,0,1,1,1,1.00099171437717,84000
