"L1","L2","X.","dt","L2measurer"
33.02,45.72,0,1.98630136986301,0
31.75,43.18,0,1.98630136986301,0
34.29,40.64,0,1.03013698630137,0
33.02,40.005,0,1.98630136986301,0
33.02,45.72,0,2.53424657534247,0
35.56,48.26,0,2.05205479452055,0
36.83,53.34,0,3.30684931506849,0
29.21,37.592,0,1.03013698630137,0
33.02,40.64,0,2.20547945205479,0
35.56,59.69,0,4.72602739726027,0
36.83,46.355,0,2.87671232876712,0
31.75,39.37,0,1.95068493150685,0
31.75,45.72,0,2.84109589041096,0
30.48,43.18,0,2.35342465753425,0
35.56,45.72,0,2.28767123287671,0
33.02,40.64,0,1.25205479452055,0
29.21,39.37,0,1.31506849315068,0
30.48,38.1,0,1.25205479452055,0
30.48,43.815,0,1.5041095890411,0
36.83,49.53,0,1.26849315068493,0
33.02,36.83,0,1.9013698630137,0
35.56,50.8,0,2.50684931506849,0
33.02,53.34,0,3.04109589041096,0
29.21,28.956,0,0.167123287671233,0
27.432,36.83,0,0.797260273972603,0
29.972,44.45,0,1.70684931506849,0
29.972,44.45,0,1.95616438356164,0
29.972,30.48,0,0.252054794520548,0
28.448,44.45,0,1.03287671232877,0
25.908,52.07,0,5.32876712328767,0
24.892,43.434,0,1.98630136986301,0
36.83,43.815,0,1.0027397260274,0
36.068,38.1,0,0.994520547945206,0
36.068,48.26,0,1.86301369863014,0
39.37,52.07,0,3.35068493150685,0
40.64,47.625,0,2.66575342465753,0
29.21,38.1,0,1.31232876712329,0
34.29,40.64,0,0.764383561643836,0
30.48,43.18,0,2.32876712328767,0
33.02,41.91,0,1.25205479452055,0
26.67,40.64,0,2.53972602739726,0
36.83,44.45,0,1.18356164383562,0
33.02,35.56,0,0.386301369863014,0
25.4,40.64,0,1.40547945205479,0
38.1,48.895,0,1.78082191780822,0
26.67,36.83,0,1.41095890410959,0
29.972,36.83,0,1.41095890410959,0
29.21,64.135,0,10.2684931506849,0
31.75,40.64,0,1.07945205479452,0
34.29,44.45,0,1.21369863013699,0
33.02,49.53,0,2.50958904109589,0
33.02,40.64,0,0.942465753424658,0
29.21,34.29,0,0.53972602739726,0
35.56,36.83,0,0.4,0
33.02,53.975,0,3.93972602739726,0
33.02,35.56,0,1.05479452054795,0
30.48,35.56,0,0.983561643835616,0
25.4,30.48,0,0.567123287671233,0
33.02,32.766,0,0.189041095890411,0
29.21,38.1,0,1.35342465753425,0
40.64,44.45,0,2.4986301369863,0
36.83,43.18,0,1.95068493150685,0
33.02,43.18,0,2.01643835616438,0
38.1,43.815,0,1.46027397260274,0
35.56,45.72,0,2.55890410958904,0
34.29,45.72,0,1.94520547945205,0
31.75,44.45,0,1.2958904109589,0
27.94,35.052,0,0.745205479452055,0
30.48,58.42,0,4.1972602739726,0
30.48,44.45,0,4.18904109589041,0
29.21,36.068,0,0.753424657534247,0
30.48,38.735,0,1.38904109589041,0
34.29,55.88,0,3.45753424657534,0
33.02,39.37,0,1.0986301369863,0
35.56,41.91,0,0.945205479452055,0
33.02,39.37,0,2.12054794520548,0
30.48,38.1,0,0.868493150684931,0
38.1,39.37,0,0.241095890410959,0
34.29,46.99,0,2.28493150684932,0
36.83,44.45,0,1.27945205479452,0
34.29,41.91,0,1.03561643835616,0
34.29,41.91,0,1.56986301369863,0
22.86,29.21,0,0.934246575342466,0
34.29,49.53,0,2.23013698630137,0
34.29,35.56,0,0.304109589041096,0
31.75,40.64,0,1.56438356164384,0
33.02,41.148,0,0.906849315068493,0
33.02,40.64,0,1.0027397260274,0
30.48,40.64,0,0.980821917808219,0
30.48,38.1,0,0.772602739726027,0
30.48,41.91,0,1.38356164383562,0
33.02,40.64,0,0.975342465753425,0
29.21,38.1,0,1.20821917808219,0
30.48,33.02,0,0.347945205479452,0
33.02,35.56,0,0.312328767123288,0
30.48,38.1,0,0.898630136986301,0
30.48,38.1,0,0.950684931506849,0
26.67,31.75,0,0.76986301369863,0
30.48,58.42,0,6.15890410958904,0
33.02,45.085,0,1.3041095890411,0
31.75,33.274,0,0.706849315068493,0
29.21,50.8,0,2.98082191780822,0
36.83,46.99,0,2.41369863013699,0
31.75,41.91,0,1.8,0
36.83,45.72,0,1.8,0
33.02,45.72,0,1.8,0
36.83,38.1,0,1.90684931506849,0
31.75,39.37,0,1.90684931506849,0
31.75,46.355,0,2.41917808219178,0
34.29,45.72,0,2.01917808219178,0
31.75,43.18,0,2.69041095890411,0
41.91,57.15,0,4.49315068493151,0
30.48,45.72,0,2.34794520547945,0
38.1,55.88,0,4.16986301369863,0
33.02,43.18,0,1.90684931506849,0
27.94,48.26,0,3.33150684931507,0
31.75,40.132,0,0.849315068493151,0
31.75,55.88,0,3.84109589041096,0
30.48,59.69,0,9.16712328767123,0
30.48,40.64,0,1.46027397260274,0
30.48,44.45,0,1.15068493150685,0
30.48,43.18,0,1.63287671232877,0
33.02,43.815,0,1.52602739726027,0
36.83,45.72,0,1.32602739726027,0
33.02,38.1,0,0.435616438356164,0
31.75,35.56,0,1.11232876712329,0
33.02,43.18,0,3.99178082191781,0
29.21,54.61,0,4.04657534246575,0
34.29,40.132,0,0.578082191780822,0
