Tag Date,Location,Station,Depth (fa.),Fish Spp.,Tagged before?,Tag #,F. L. (in.),Remarks,Recapture date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (miles) moved,Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.),Retagged?,Recapture Date,Location,Station,Depth (fa.),F. L. (in.),Weight (lb.),# Days Free,Growth (in.),Distance (mi.), Retagged?
1989-12-05,401,30,63,1,1,B057,11.60,,,,,,,,-31385,-11.6,,,,,,,,,-31385,-11.6,,,,,,,,,-31385,-11.6,,,,,,,,,-31385,-11.6,,
1989-12-05,401,30,63,1,0,B064,10.70,,,,,,,,-31385,-10.7,,,,,,,,,-31385,-10.7,,,,,,,,,-31385,-10.7,,,,,,,,,-31385,-10.7,,
1989-12-05,401,30,63,1,0,B070,8.90,,,,,,,,-31385,-8.9,,,,,,,,,-31385,-8.9,,,,,,,,,-31385,-8.9,,,,,,,,,-31385,-8.9,,
1989-12-05,401,30,63,1,0,B084,10.60,,1990-02-12,401,30,63,11,,69,0.4,0,P977,1990-03-29,401,30,63,11.2,,114,0.6,0,N,,,,,,,-31385,-10.6,,,,,,,,,-31385,-10.6,,
1989-12-05,401,30,63,1,0,B090,11.00,,1989-12-15,401,30,63,10.2,,10,-0.8,0,P965,1990-08-21,401,30,63,13.8,,259,2.8,0,N,,,,,,,-31385,-11,,,,,,,,,-31385,-11,,
1989-11-24,401,30,63,1,0,B627,11.20,,1990-08-21,401,30,63,14.6,,270,3.4,0,N,,,,,,,-31374,-11.2,,,,,,,,,-31374,-11.2,,,,,,,,,-31374,-11.2,,
1989-11-16,401,30,63,1,0,B674,11.40,,,,,,,,-31366,-11.4,,,,,,,,,-31366,-11.4,,,,,,,,,-31366,-11.4,,,,,,,,,-31366,-11.4,,
1989-11-03,401,30,63,1,0,B709,10.00,,,,,,,,-31353,-10,,,,,,,,,-31353,-10,,,,,,,,,-31353,-10,,,,,,,,,-31353,-10,,
1989-11-03,401,30,63,1,0,B714,9.70,,1990-11-28,401,30,63,14.6,,390,4.9,0,P994,1991-09-02,401,30,63,17.3,3.28,668,7.6,0,N,,,,,,,-31353,-9.7,,,,,,,,,-31353,-9.7,,
1989-10-30,401,30,63,1,0,B725,10.50,,,,,,,,-31349,-10.5,,,,,,,,,-31349,-10.5,,,,,,,,,-31349,-10.5,,,,,,,,,-31349,-10.5,,
1989-11-03,401,30,63,1,0,B731,8.80,,1991-09-02,401,30,63,17.3,3.38,668,8.5,0,N,,,,,,,-31353,-8.8,,,,,,,,,-31353,-8.8,,,,,,,,,-31353,-8.8,,
1989-11-03,401,30,63,1,0,B736,9.30,,,,,,,,-31353,-9.3,,,,,,,,,-31353,-9.3,,,,,,,,,-31353,-9.3,,,,,,,,,-31353,-9.3,,
1989-11-03,401,30,63,1,0,B776,11.00,,,,,,,,-31353,-11,,,,,,,,,-31353,-11,,,,,,,,,-31353,-11,,,,,,,,,-31353,-11,,
1989-11-03,401,30,63,1,0,B782,10.80,,,,,,,,-31353,-10.8,,,,,,,,,-31353,-10.8,,,,,,,,,-31353,-10.8,,,,,,,,,-31353,-10.8,,
1989-11-03,401,30,63,1,0,B787,9.30,,,,,,,,-31353,-9.3,,,,,,,,,-31353,-9.3,,,,,,,,,-31353,-9.3,,,,,,,,,-31353,-9.3,,
1989-10-25,401,30,63,1,0,B796,10.80,,,,,,,,-31344,-10.8,,,,,,,,,-31344,-10.8,,,,,,,,,-31344,-10.8,,,,,,,,,-31344,-10.8,,
1989-12-05,401,30,63,1,0,C061,10.20,,,,,,,,-31385,-10.2,,,,,,,,,-31385,-10.2,,,,,,,,,-31385,-10.2,,,,,,,,,-31385,-10.2,,
1989-12-05,401,30,63,1,0,C621,10.00,,,,,,,,-31385,-10,,,,,,,,,-31385,-10,,,,,,,,,-31385,-10,,,,,,,,,-31385,-10,,
1989-11-24,401,30,63,1,1,C672,11.00,,,,,,,,-31374,-11,,,,,,,,,-31374,-11,,,,,,,,,-31374,-11,,,,,,,,,-31374,-11,,
1989-11-24,401,30,63,1,1,C686,10.60,,,,,,,,-31374,-10.6,,,,,,,,,-31374,-10.6,,,,,,,,,-31374,-10.6,,,,,,,,,-31374,-10.6,,
1989-10-25,401,30,63,1,0,C714,9.50,,1990-08-28,401,30,63,14.2,2,307,4.7,0,N,,,,,,,-31344,-9.5,,,,,,,,,-31344,-9.5,,,,,,,,,-31344,-9.5,,
1989-11-01,401,30,63,1,0,C725,10.00,,1990-03-29,401,30,63,10.5,,148,0.5,0,N,,,,,,,-31351,-10,,,,,,,,,-31351,-10,,,,,,,,,-31351,-10,,
1989-10-30,401,30,63,1,0,C726,10.40,,1990-08-28,401,30,63,14.2,,302,3.8,0,Q822,1990-11-28,401,30,63,14.6,2.1,394,4.2,0,N,,,,,,,-31349,-10.4,,,,,,,,,-31349,-10.4,,
1989-11-01,401,30,63,1,0,C734,10.20,,1990-10-09,401,30,63,14.2,2,342,4,0,N,,,,,,,-31351,-10.2,,,,,,,,,-31351,-10.2,,,,,,,,,-31351,-10.2,,
1989-11-03,401,30,63,1,0,C742,10.30,,1990-09-05,401,30,63,14.8,2.25,306,4.5,0,N,,,,,,,-31353,-10.3,,,,,,,,,-31353,-10.3,,,,,,,,,-31353,-10.3,,
1989-10-30,401,30,63,1,0,C747,10.70,,,,,,,,-31349,-10.7,,,,,,,,,-31349,-10.7,,,,,,,,,-31349,-10.7,,,,,,,,,-31349,-10.7,,
1989-11-03,401,30,63,1,0,C787,11.00,,,,,,,,-31353,-11,,,,,,,,,-31353,-11,,,,,,,,,-31353,-11,,,,,,,,,-31353,-11,,
1989-10-30,401,30,63,1,0,C788,10.00,,1991-06-10,401,30,63,16.2,2.88,588,6.2,0,N,,,,,,,-31349,-10,,,,,,,,,-31349,-10,,,,,,,,,-31349,-10,,
1989-12-05,401,30,63,1,0,D057,11.50,,,,,,,,-31385,-11.5,,,,,,,,,-31385,-11.5,,,,,,,,,-31385,-11.5,,,,,,,,,-31385,-11.5,,
1989-12-05,401,30,63,1,0,D089,10.80,,,,,,,,-31385,-10.8,,,,,,,,,-31385,-10.8,,,,,,,,,-31385,-10.8,,,,,,,,,-31385,-10.8,,
1992-02-19,331,30,52,1,0,E000,15.80,,,,,,,,-32191,-15.8,,,,,,,,,-32191,-15.8,,,,,,,,,-32191,-15.8,,,,,,,,,-32191,-15.8,,
1992-02-19,312,31,54,1,0,E001,13.50,,,,,,,,-32191,-13.5,,,,,,,,,-32191,-13.5,,,,,,,,,-32191,-13.5,,,,,,,,,-32191,-13.5,,
1992-02-19,312,31,54,1,0,E002,11.50,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,
1992-02-19,312,31,54,1,0,E003,11.80,,,,,,,,-32191,-11.8,,,,,,,,,-32191,-11.8,,,,,,,,,-32191,-11.8,,,,,,,,,-32191,-11.8,,
1992-02-19,312,31,54,1,0,E004,12.60,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,
1992-02-19,312,31,54,1,0,E005,11.90,,,,,,,,-32191,-11.9,,,,,,,,,-32191,-11.9,,,,,,,,,-32191,-11.9,,,,,,,,,-32191,-11.9,,
1992-02-19,312,31,54,1,0,E006,13.20,,,,,,,,-32191,-13.2,,,,,,,,,-32191,-13.2,,,,,,,,,-32191,-13.2,,,,,,,,,-32191,-13.2,,
1992-02-19,312,31,54,1,0,E007,11.10,,,,,,,,-32191,-11.1,,,,,,,,,-32191,-11.1,,,,,,,,,-32191,-11.1,,,,,,,,,-32191,-11.1,,
1992-02-19,312,31,54,1,0,E008,12.80,,,,,,,,-32191,-12.8,,,,,,,,,-32191,-12.8,,,,,,,,,-32191,-12.8,,,,,,,,,-32191,-12.8,,
1992-02-19,312,31,54,1,0,E009,11.10,,,,,,,,-32191,-11.1,,,,,,,,,-32191,-11.1,,,,,,,,,-32191,-11.1,,,,,,,,,-32191,-11.1,,
1992-02-19,312,31,54,1,0,E010,12.80,,,,,,,,-32191,-12.8,,,,,,,,,-32191,-12.8,,,,,,,,,-32191,-12.8,,,,,,,,,-32191,-12.8,,
1992-02-19,312,31,54,1,0,E011,11.50,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,
1992-02-19,312,31,54,1,0,E012,12.60,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,
1992-02-19,312,31,54,1,0,E013,12.60,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,,,,,,,,-32191,-12.6,,
1992-02-19,312,31,54,1,0,E014,13.70,,,,,,,,-32191,-13.7,,,,,,,,,-32191,-13.7,,,,,,,,,-32191,-13.7,,,,,,,,,-32191,-13.7,,
1992-02-19,312,31,54,1,0,E015,13.30,,,,,,,,-32191,-13.3,,,,,,,,,-32191,-13.3,,,,,,,,,-32191,-13.3,,,,,,,,,-32191,-13.3,,
1992-02-19,312,31,54,1,0,E016,16.20,,,,,,,,-32191,-16.2,,,,,,,,,-32191,-16.2,,,,,,,,,-32191,-16.2,,,,,,,,,-32191,-16.2,,
1992-02-19,312,31,54,1,0,E017,11.50,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,,,,,,,,-32191,-11.5,,
