date,length,month,year,month_year
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,13,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,14,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,15,February,1990,Feb-90
1990-02-01,16,February,1990,Feb-90
1990-02-01,16,February,1990,Feb-90
1990-02-01,16,February,1990,Feb-90
1990-02-01,16,February,1990,Feb-90
1990-02-01,16,February,1990,Feb-90
1990-02-01,16,February,1990,Feb-90
1990-02-01,16,February,1990,Feb-90
1990-02-01,16,February,1990,Feb-90
1990-02-01,17,February,1990,Feb-90
1990-02-01,17,February,1990,Feb-90
1990-02-01,17,February,1990,Feb-90
1990-02-01,18,February,1990,Feb-90
1990-02-01,18,February,1990,Feb-90
1990-02-01,18,February,1990,Feb-90
1990-02-01,19,February,1990,Feb-90
1990-02-01,19,February,1990,Feb-90
1990-02-01,19,February,1990,Feb-90
1990-02-01,19,February,1990,Feb-90
1990-02-01,19,February,1990,Feb-90
1990-02-01,20,February,1990,Feb-90
1990-02-01,20,February,1990,Feb-90
1990-03-01,10,March,1990,Mar-90
1990-03-01,11,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,12,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,13,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
1990-03-01,14,March,1990,Mar-90
